learning style,gpa,student semester,major,previous courses,course types,course subjects,subjects of interest,extracurricular activities,career aspirations,future topics,ethnoracial group,gender,international status
0.47937602,3.33,8,0.50890195,0.51775515,0.51073384,0.5345831,0.48941752,0.48909724,0.5004727,0.49917004,,,
0.47764793,3.4,5,0.49230036,0.5066646,0.51004916,0.5298472,0.48460707,0.4834675,0.5059927,0.49912173,1.0,0.0,0.0
0.47764793,3.08,5,0.49167567,0.38687354,0.5112734,0.5112067,0.48964635,0.5604762,0.50213456,0.49643615,3.0,1.0,0.0
0.47764793,3.17,13,0.49760675,0.7635955,0.51086575,0.5172748,0.48958653,0.5195299,0.502743,0.49405366,2.0,0.0,0.0
0.47593242,2.82,6,0.49643475,0.5295047,0.5113562,0.51212287,0.48957753,0.4867572,0.525842,0.48831964,0.0,0.0,0.0
0.47808185,3.43,4,0.48401755,0.53298295,0.51109785,0.5041867,0.48965162,0.53428143,0.50661606,0.48831964,,,
0.47593242,2.67,14,0.48767647,0.15995015,0.5099877,0.52690744,0.48950648,0.5428991,0.5016121,0.49167952,0.0,2.0,0.0
0.47808185,3.31,6,0.5053245,0.6546381,0.51150674,0.512868,0.4896138,0.5250712,0.52820975,0.49908495,2.0,1.0,0.0
0.47937602,2.18,4,0.4988731,0.66635495,0.51073384,0.48097765,0.48965394,0.52552223,0.5028718,0.49133915,0.0,1.0,0.0
0.47593242,2.13,13,0.4860574,0.1622646,0.5131568,0.51075864,0.489287,0.5133548,0.49669623,0.49643615,1.0,1.0,0.0
0.47593242,2.56,11,0.49902418,0.8144406,0.5116852,0.5432334,0.4896496,0.51540434,0.49845082,0.48831964,2.0,0.0,1.0
0.47808185,2.65,13,0.48326856,0.8782442,0.5100309,0.5096584,0.48948732,0.511724,0.51309276,0.5007553,,,
0.47593242,2.35,7,0.4914934,0.47012365,0.510991,0.5340721,0.4896081,0.5411509,0.49675208,0.49400803,,,
0.47593242,2.54,4,0.49405771,0.33963394,0.5094564,0.44995543,0.48924428,0.53976625,0.44435242,0.49133915,,,
0.47593242,2.54,8,0.523108,0.44629472,0.51257694,0.52511466,0.4895967,0.5492822,0.49371725,0.49350223,,,
0.47764793,3.59,8,0.5027708,0.4861411,0.51444584,0.5170439,0.4895119,0.42688978,0.511683,0.49912173,0.0,1.0,0.0
0.47764793,3.36,6,0.49827427,0.40459818,0.5206283,0.5165771,0.48915043,0.5358552,0.50691104,0.49350223,0.0,1.0,0.0
0.47764793,3.4,8,0.49060154,0.5469301,0.5106021,0.5262535,0.4896412,0.50997424,0.51228374,0.4865148,0.0,0.0,0.0
0.47808185,3.74,1,0.4988731,0.49277943,0.5120201,0.48367548,0.49388385,0.46235678,0.507357,0.58796775,0.0,1.0,0.0
0.4779744,3.33,5,0.5042094,0.5623402,0.5094564,0.5061098,0.48955673,0.50846833,0.50928986,0.49405366,,,
0.47937602,2.8,6,0.5010576,0.5712629,0.5122497,0.5222803,0.48963735,0.5195485,0.5104476,0.5007553,0.0,0.0,0.0
0.47937602,3.61,7,0.48997834,0.45495975,0.51201934,0.52151626,0.48982498,0.5221273,0.50124234,0.49912173,1.0,0.0,0.0
0.47593242,2.11,1,0.4988731,0.23962079,0.5107825,0.50832623,0.44900912,0.5145013,0.5054766,0.5236447,,,
0.47593242,2.53,5,0.49619198,0.5026975,0.5103478,0.48543847,0.48852798,0.5087421,0.5005788,0.4839992,2.0,0.0,0.0
0.47937602,2.39,12,0.49711174,0.52461696,0.5125186,0.521798,0.48957738,0.5180112,0.49666232,0.5007553,0.0,0.0,0.0
0.47764793,2.14,1,0.4822535,0.39790386,0.5102172,0.5090016,0.4896541,0.52440816,0.50539905,0.49133915,1.0,1.0,1.0
0.47808185,2.13,8,0.49849036,0.5681063,0.52228916,0.5109243,0.48958316,0.49626014,0.48387766,0.49350223,,,
0.47593242,,0,0.4988731,0.49265742,0.5108953,0.50718117,0.479707,0.41567302,0.507357,0.5236447,4.0,0.0,0.0
0.47937602,3.61,14,0.48649228,0.586545,0.513276,0.5145777,0.48965353,0.49720654,0.53285563,0.49643615,1.0,0.0,0.0
0.47764793,3.66,13,0.49654627,0.7707874,0.5100968,0.5129048,0.48892242,0.48907855,0.47601002,0.4865148,0.0,1.0,0.0
0.47808185,3.73,12,0.49619198,0.36672997,0.5100726,0.4994117,0.48888817,0.5115968,0.4913147,0.49350223,,,
