learning style,gpa,student semester,major,previous courses,course types,course subjects,subjects of interest,extracurricular activities,career aspirations,future topics,ethnoracial group,gender,international status
0.49163204,2.5,13,0.49985927,0.34013867,0.5081116,0.52045196,0.4890313,0.48872355,0.48461998,0.51466405,2.0,0.0,0.0
0.4902784,3.53,12,0.5125533,0.72551495,0.5071683,0.5249098,0.48933107,0.49082097,0.48890752,0.5131124,,,
0.4911238,3.6,6,0.5006286,0.49644175,0.50745434,0.5193459,0.4890343,0.49023047,0.48357826,0.5146641,,,
0.49163204,3.86,7,0.50274146,0.5119122,0.50749385,0.51928663,0.48903918,0.4901957,0.48378953,0.5053111,0.0,2.0,0.0
0.4902784,2.35,2,0.49882653,0.47019422,0.50734615,0.51926726,0.48904282,0.49026427,0.48370823,0.50907,1.0,1.0,0.0
0.49163204,3.8,5,0.51120985,0.45057034,0.50730693,0.5191644,0.48888543,0.49024853,0.48361978,0.51451707,1.0,0.0,0.0
0.4902784,3.86,3,0.49021196,0.43070975,0.50734437,0.5192912,0.48904282,0.49024838,0.48363924,0.49764764,,,
0.49163204,2.8,4,0.5029405,0.42963398,0.5073487,0.51923466,0.4893175,0.49025828,0.48367313,0.5089387,0.0,0.0,0.0
0.48999047,2.18,12,0.5011196,0.15688357,0.5089626,0.51642853,0.48906234,0.493485,0.4880215,0.5092009,3.0,0.0,0.0
0.4902784,3.92,4,0.49930343,0.44576842,0.5073489,0.51923674,0.48954692,0.4902336,0.4832338,0.51466405,0.0,1.0,1.0
0.49163204,3.73,6,0.4980207,0.40165436,0.50735664,0.51904774,0.48903584,0.4900921,0.4836148,0.5064131,,,
0.49025607,3.24,8,0.4931065,0.44665214,0.507358,0.519902,0.4887963,0.49024907,0.48382223,0.51466405,,,
0.48999047,3.73,2,0.49819696,0.4552457,0.50734514,0.51927465,0.4890428,0.49026066,0.48364496,0.50173455,0.0,1.0,0.0
0.4902784,3.34,14,0.5112336,0.39626518,0.5071752,0.52166975,0.48903137,0.49018693,0.4916589,0.51115906,1.0,0.0,0.0
0.49189943,2.73,13,0.4980207,0.11273229,0.5078843,0.5056637,0.48904276,0.49141827,0.483267,0.50686634,0.0,1.0,0.0
0.48999047,3.51,11,0.49819696,0.49039534,0.5087091,0.5160457,0.48879626,0.4903389,0.48358575,0.51115906,0.0,1.0,0.0
0.4902784,2.58,4,0.4871174,0.43483797,0.5073172,0.51926905,0.48904517,0.49026647,0.48361334,0.50907,0.0,0.0,0.0
0.48999047,2.61,9,0.5060447,0.25461003,0.50730884,0.52066416,0.4890468,0.4903419,0.48357326,0.52388835,1.0,0.0,0.0
0.49163204,3.68,5,0.50182843,0.46335617,0.50737715,0.5193642,0.48904562,0.49027,0.48431027,0.51466405,0.0,2.0,0.0
0.4902784,2.09,10,0.5017567,0.44172004,0.5077074,0.51473045,0.48903015,0.4902799,0.48415294,0.51115906,,,
0.48999047,3.14,4,0.49819696,0.4635568,0.5073488,0.5192189,0.4890415,0.49023956,0.48364168,0.50907,,,
0.48999047,3.43,14,0.4881482,0.24449989,0.50755054,0.50618035,0.49244565,0.48620468,0.482483,0.51115906,2.0,0.0,0.0
0.48999047,3.46,12,0.49468118,0.83475727,0.5083754,0.5182632,0.4890461,0.48887658,0.48237836,0.50907,0.0,0.0,0.0
0.4911238,2.35,2,0.49819696,0.47201857,0.5073447,0.51927054,0.48906717,0.4902658,0.48364714,0.50907,0.0,2.0,0.0
0.48999047,2.12,10,0.50454235,0.3330572,0.5070346,0.5200795,0.48895976,0.4901413,0.48384857,0.51466405,4.0,1.0,0.0
0.4911238,2.83,3,0.49819696,0.4662368,0.5073389,0.51925087,0.48905557,0.49024972,0.48365104,0.5131124,3.0,0.0,0.0
0.4911238,3.17,10,0.49590212,0.2228185,0.5074389,0.51760036,0.48902375,0.49026534,0.48113504,0.51466405,,,
0.48999047,3.38,8,0.49627542,0.47480187,0.5074847,0.5192409,0.48904407,0.49024332,0.48396945,0.5092009,2.0,0.0,0.0
0.4902784,3.96,8,0.49442625,0.44364417,0.5073818,0.5185964,0.48905542,0.49027073,0.48355094,0.5064131,2.0,1.0,0.0
0.4911238,2.82,13,0.5037397,0.2958753,0.5068867,0.5126005,0.48929602,0.4909511,0.48347148,0.5089387,,,
0.49163204,2.7,8,0.5156622,0.40685683,0.50732934,0.51932764,0.48909095,0.4902643,0.48355946,0.51466405,0.0,0.0,0.0
0.48999047,2.9,8,0.49131554,0.5189442,0.50717807,0.5193468,0.4890428,0.49021605,0.48360363,0.5183978,2.0,0.0,0.0
0.48999047,3.82,2,0.50216544,0.4601988,0.50734615,0.5192594,0.4890428,0.49025255,0.48365283,0.49572244,0.0,1.0,0.0
0.49054468,,0,0.49756464,0.45256522,0.5073448,0.5192661,0.4890428,0.49026,0.4836383,0.5106963,3.0,1.0,0.0
0.48999047,3.0,13,0.49351525,0.26708147,0.50804186,0.52337027,0.48905182,0.4860192,0.48387194,0.50686634,3.0,1.0,0.0
0.4902784,3.52,9,0.4940187,0.5771865,0.5074405,0.5188722,0.48890212,0.49008805,0.48382828,0.51451707,4.0,0.0,0.0
0.4902784,3.52,4,0.49819696,0.47661632,0.50735205,0.519247,0.489087,0.49024397,0.4836205,0.51451707,0.0,0.0,0.0
0.4902784,2.99,12,0.49791986,0.38480908,0.5071262,0.5247135,0.4890429,0.49010536,0.48913553,0.51115906,,,
0.49163204,3.35,10,0.4950661,0.47601926,0.5072498,0.5179469,0.4890428,0.49022195,0.48325327,0.5039119,0.0,2.0,0.0
0.48999047,3.65,13,0.49337745,0.38316163,0.5089524,0.5267999,0.48904285,0.4899136,0.48399696,0.4971797,0.0,1.0,0.0
0.49076378,3.12,6,0.50023586,0.44106492,0.50722957,0.51932627,0.4890382,0.49055803,0.4836369,0.50907,0.0,0.0,0.0
0.4911238,3.14,4,0.49819696,0.43440658,0.5073204,0.5192078,0.4890428,0.49026218,0.4837037,0.511885,0.0,0.0,0.0
0.49189943,3.27,13,0.4993987,0.30469075,0.5075239,0.5082129,0.48906165,0.49024966,0.48373455,0.5053111,3.0,1.0,1.0
0.49189943,2.16,13,0.49727595,0.39995697,0.50776905,0.5201325,0.4890362,0.49020275,0.48484182,0.51466405,3.0,1.0,0.0
